# id	verdict	label	source_keys	source_w	source_h	score	rel_path
cand_0027		tmd:(22, 31937, 127, 179, 40, 19)	0239E24F66466DB5;F24ADA042E0888D7	40	19	0.129942	c8804f64_99ff79c3_40_19_0.png
cand_0028		tmd:(12, 31554, 128, 0, 127, 155)	A5C68707DDAAC42F;8D5CFA6240F8831D	127	155	0.143392	b577a082_f70f2cb7_127_155_0.png
cand_0029		tmd:(12, 31490, 0, 0, 128, 156)	75D5FF93A35C66B9;5D5EEEEE069EBAFF	128	156	0.151893	23e1d321_5e6c8752_128_156_0.png
cand_0030		template-subrect:Template(attr=1342177344, tex_x_hw=960, tex_y_px=425, w=84, h=34, clut_x_px=304, clut_y_px=497):0	03C001A9016401D3;8D6DE92D7A276200	84	34	0.159418	c57c8591_5bce181a_84_34_0.png
cand_0031		template:Template(attr=1342177344, tex_x_hw=960, tex_y_px=425, w=84, h=34, clut_x_px=304, clut_y_px=497)	03C001A9016401D3;8D6DE92D7A276200	84	34	0.159418	c57c8591_5bce181a_84_34_0.png
cand_0032		tmd:(8, 31234, 144, 0, 79, 199)	6E5093E0327C4587;632630F7B04764FD	79	199	0.164167	0b878749_fbbced0d_79_199_0.png
cand_0033		tmd:(6, 30848, 196, 185, 43, 42)	628CC41B5DF30307;F2C5EC8C2CD4446D	43	42	0.191743	84d4ee15_2b314431_43_42_0.png
cand_0034		tmd:(22, 31873, 127, 159, 40, 19)	D8862D1A371EFDF1;26D3BF8A82C6B613	40	19	0.194737	06096c7a_99ff79c3_40_19_0.png
cand_0035		template-subrect:Template(attr=1342177344, tex_x_hw=343, tex_y_px=256, w=28, h=12, clut_x_px=960, clut_y_px=5):1	014B010003DC0009;B5D7B4746B3333B2	28	12	0.197484	3baa49d9_424718c5_28_12_0.png
cand_0036		template-subrect:Template(attr=1342177344, tex_x_hw=981, tex_y_px=425, w=76, h=34, clut_x_px=304, clut_y_px=498):0	03D501A9017C01D0;C466F21B993B9F9C	76	34	0.198177	6e57fd59_5bce181a_76_34_0.png
cand_0037		template:Template(attr=1342177344, tex_x_hw=981, tex_y_px=425, w=76, h=34, clut_x_px=304, clut_y_px=498)	03D501A9017C01D0;C466F21B993B9F9C	76	34	0.198177	6e57fd59_5bce181a_76_34_0.png
cand_0038		tmd:(9, 31746, 0, 150, 1, 84)	59B7634081C65B6B;4C0F9AC0BB4DE285	1	84	0.198775	bb9f8098_4fffc085_1_84_0.png
cand_0039		tmd:(9, 31106, 100, 0, 100, 100)	1CAFECB79B295998;9128F43E8DA01966	100	100	0.211275	20c626e0_4cdae35a_100_100_0.png
cand_0040		tmd:(9, 31042, 0, 0, 100, 100)	6D142D59F2C3C94C;983658DADDBAF662	100	100	0.218643	20c626e0_4cdae35a_100_100_0.png
cand_0041		tmd:(9, 31746, 3, 150, 1, 84)	E31B235E6C5FA9E4;06897AB9295260BA	1	84	0.225098	bb9f8098_4fffc085_1_84_0.png
cand_0042		template-subrect:Template(attr=1342177344, tex_x_hw=320, tex_y_px=0, w=48, h=17, clut_x_px=960, clut_y_px=4):1	0170000003F00015;DD45DE0868B2E9AD	48	17	0.251400	faabf534_25301e00_48_17_0.png
cand_0043		template-subrect:Template(attr=1342177344, tex_x_hw=343, tex_y_px=256, w=28, h=12, clut_x_px=960, clut_y_px=5):0	0157010003DC0009;34FCADA08AAA9136	28	12	0.253546	12209dfc_89184361_28_12_0.png
cand_0044		template:Template(attr=1342177344, tex_x_hw=343, tex_y_px=256, w=28, h=12, clut_x_px=960, clut_y_px=5)	0157010003DC0009;34FCADA08AAA9136	28	12	0.253546	12209dfc_89184361_28_12_0.png
cand_0045		template-subrect:Template(attr=1342177344, tex_x_hw=1012, tex_y_px=461, w=16, h=16, clut_x_px=288, clut_y_px=486):1	03E401CD013001F6;DA9D82087B391C49	16	16	0.253799	c6bf40d7_5bce181a_16_16_0.png
cand_0046		tmd:(8, 30786, 80, 19, 63, 23)	565AE730F1CDA6C6;29EB823DC1569738	63	23	0.254776	ef161905_f62c3a9f_63_23_0.png
cand_0047		tmd:(11, 31362, 128, 0, 127, 127)	B3B70A6DDD893634;48372B539420D08E	127	127	0.257763	76b5adf1_6ffae52f_127_127_0.png
cand_0048		tmd:(9, 31746, 2, 150, 1, 84)	509E47558CD0A4D9;1D86A6B531C06147	1	84	0.258971	bb9f8098_4fffc085_1_84_0.png
cand_0049		template-subrect:Template(attr=1342177344, tex_x_hw=320, tex_y_px=0, w=48, h=17, clut_x_px=960, clut_y_px=3):1	0170000003F00012;02A9E8EBC56DEDED	48	17	0.262203	faabf534_25301e00_48_17_0.png
cand_0050		template-subrect:Template(attr=1342177344, tex_x_hw=320, tex_y_px=0, w=48, h=17, clut_x_px=960, clut_y_px=2):0	0140000003F00013;D783FCBC47235E7D	48	17	0.268673	faabf534_25301e00_48_17_0.png
cand_0051		template:Template(attr=1342177344, tex_x_hw=320, tex_y_px=0, w=48, h=17, clut_x_px=960, clut_y_px=2)	0140000003F00013;D783FCBC47235E7D	48	17	0.268673	faabf534_25301e00_48_17_0.png
cand_0052		tmd:(22, 31937, 88, 179, 40, 19)	C9A8933E23B830E2;A35DB8BF14C1CBE0	40	19	0.276449	2a953e15_99ff79c3_40_19_0.png
cand_0053		template-subrect:Template(attr=1342177344, tex_x_hw=343, tex_y_px=432, w=40, h=22, clut_x_px=960, clut_y_px=53):2	010701B003E80023;0E3B234E4B5CA1A4	40	22	0.280653	24ce5a3a_f3d2d369_40_22_0.png
cand_0054		template-subrect:Template(attr=1342177344, tex_x_hw=320, tex_y_px=0, w=48, h=17, clut_x_px=960, clut_y_px=3):0	0140000003F00012;033CC75B9AFDF73D	48	17	0.286422	faabf534_25301e00_48_17_0.png
cand_0055		template:Template(attr=1342177344, tex_x_hw=320, tex_y_px=0, w=48, h=17, clut_x_px=960, clut_y_px=3)	0140000003F00012;033CC75B9AFDF73D	48	17	0.286422	faabf534_25301e00_48_17_0.png
cand_0056		template-subrect:Template(attr=1342177344, tex_x_hw=320, tex_y_px=0, w=48, h=17, clut_x_px=960, clut_y_px=2):4	0180000003F00013;DB82F67B9ED5F1BD	48	17	0.291241	faabf534_25301e00_48_17_0.png
cand_0057		template-subrect:Template(attr=1342177344, tex_x_hw=320, tex_y_px=0, w=48, h=17, clut_x_px=960, clut_y_px=2):1	0170000003F00013;D6F11E4C7193552D	48	17	0.292187	faabf534_25301e00_48_17_0.png
cand_0058		template-subrect:Template(attr=1342177344, tex_x_hw=320, tex_y_px=0, w=48, h=17, clut_x_px=960, clut_y_px=4):3	01D0000003F00015;DA6CE128BC20D5CD	48	17	0.292770	faabf534_25301e00_48_17_0.png
cand_0059		template-subrect:Template(attr=1342177344, tex_x_hw=320, tex_y_px=0, w=48, h=17, clut_x_px=960, clut_y_px=3):3	01D0000003F00012;0524E3B5E31F490D	48	17	0.300368	faabf534_25301e00_48_17_0.png
cand_0060		tmd:(23, 31427, 68, 0, 68, 96)	A403484F47FF6B2D;B40F570103553D1F	68	96	0.301749	253ef7cc_14b32139_68_96_0.png
cand_0061		tmd:(8, 30850, 80, 28, 63, 23)	244A3F667DE1B14B;3FC0F8F062C505D9	63	23	0.301906	ef161905_f62c3a9f_63_23_0.png
cand_0062		tmd:(8, 30850, 80, 16, 63, 23)	469EA366913C6DB7;A87134F09E46EACD	63	23	0.303692	ef161905_f62c3a9f_63_23_0.png
cand_0063		tmd:(8, 30850, 80, 50, 63, 23)	4AA3F167248F1B41;CECA96F144F3CCD3	63	23	0.304571	ef161905_f62c3a9f_63_23_0.png
cand_0064		template-subrect:Template(attr=1342177344, tex_x_hw=960, tex_y_px=425, w=84, h=34, clut_x_px=304, clut_y_px=497):1	039401A9016401D3;EABABBA276B789D4	84	34	0.306694	c57c8591_5bce181a_84_34_0.png
cand_0065		tmd:(23, 31491, 0, 96, 67, 95)	E34F9F7EF04007F7;4759776F505BFD69	67	95	0.311801	5ea24997_568822b0_67_95_0.png
cand_0066		tmd:(23, 31363, 0, 0, 67, 95)	F98094BBBF84FE57;5F3C6CAC2110D549	67	95	0.312013	33a87470_14b32139_67_95_0.png
cand_0067		template-subrect:Template(attr=1342177344, tex_x_hw=320, tex_y_px=0, w=48, h=17, clut_x_px=960, clut_y_px=2):3	01D0000003F00013;D96C19168F44B04D	48	17	0.325953	faabf534_25301e00_48_17_0.png
cand_0068		tmd:(23, 31427, 68, 0, 66, 94)	A3FD0A4F47FA9625;B3FA4D010342D017	66	94	0.334945	bc6ca647_636b3939_66_94_0.png
cand_0069		tmd:(8, 30722, 0, 0, 79, 79)	112AF33FDAB1AAFF;C3EBB941D0E20BD5	79	79	0.337586	a7587a33_178e1f5d_79_79_0.png
cand_0070		template-subrect:Template(attr=1342177344, tex_x_hw=320, tex_y_px=0, w=48, h=17, clut_x_px=960, clut_y_px=4):2	0120000003F00015;DDA9BB6D76D2969D	48	17	0.341722	faabf534_25301e00_48_17_0.png
cand_0071		tmd:(23, 31555, 68, 96, 66, 94)	636DD5113EB6CE85;45A6D7C1BD1D0E37	66	94	0.342381	bc6ca647_636b3939_66_94_0.png
cand_0072		template-subrect:Template(attr=1342177344, tex_x_hw=750, tex_y_px=0, w=68, h=63, clut_x_px=1008, clut_y_px=206):0	02EE000003B400F1;9FC1B5B4FCD71224	68	63	0.345855	8f4563a9_7abe17c8_68_63_0.png
cand_0073		template:Template(attr=1342177344, tex_x_hw=750, tex_y_px=0, w=68, h=63, clut_x_px=1008, clut_y_px=206)	02EE000003B400F1;9FC1B5B4FCD71224	68	63	0.345855	8f4563a9_7abe17c8_68_63_0.png
