# stage1_psx_texture_map_v1
# width	height	rgba_hash64	rel_path	score
40	19	B6CDDBE9FB7FB275	2a953e15_99ff79c3_40_19_0.png	0.276449
40	19	C21B8134F55FE25B	2a953e15_99ff79c3_40_19_0.png	0.351336
40	22	D7520198FDC3AC10	24ce5a3a_f3d2d369_40_22_0.png	0.280653
40	40	AB09BE0A76EC4B73	8f0a899f_8fbf2b2e_40_40_0.png	0.422601
40	40	AF786E29F141693F	8f0a899f_8fbf2b2e_40_40_0.png	0.446651
40	40	BAA03F93AEB8896B	8f0a899f_8fbf2b2e_40_40_0.png	0.422656
40	40	CF2B1E83CCA7E1EF	8f0a899f_8fbf2b2e_40_40_0.png	0.041121
40	40	FD4E19C6E389680B	8f0a899f_8fbf2b2e_40_40_0.png	0.446538
43	42	753E94C4A3FFC7F0	84d4ee15_2b314431_43_42_0.png	0.019231
43	42	D8D4A8DFAE20C5E3	84d4ee15_2b314431_43_42_0.png	0.191743
44	12	B6BA753802CBBA7B	71b9784e_5bce181a_44_12_0.png	0.096344
44	20	0071BFC7547D64EF	418a9faa_a32ba683_44_20_0.png	0.244684
44	20	291658C8BFF31F16	418a9faa_a32ba683_44_20_0.png	0.249758
44	20	AD2195D107F85C82	418a9faa_a32ba683_44_20_0.png	0.244090
44	20	C903789CEAAD0DD8	418a9faa_a32ba683_44_20_0.png	0.242169
44	44	110540C945700D2B	de772e63_c3334dc0_44_44_0.png	0.049350
44	44	268566C871A64793	53855271_a9f3b742_44_44_0.png	0.063824
44	44	34C311A8421A993E	8fb2476b_dd63f022_44_44_0.png	0.069403
44	44	4279AC636A983D0A	9be458ee_23eb01e2_44_44_0.png	0.045303
44	44	55EA407763647CA4	8fb2476b_54458a7f_44_44_0.png	0.075699
44	44	868ABCB91D13A843	9be458ee_45e9df3c_44_44_0.png	0.064752
44	44	9D920B267C030AB5	53855271_8e15c674_44_44_0.png	0.049436
44	44	B1495662AA81314C	de772e63_fca855ed_44_44_0.png	0.065570
